"Severity","m1","m2","m3","m4","m5","m6","m7","m8","m9","m10","m11","m12","m13","m14","m15","m16","m17","m18","m19","m20","m21","m22","m23","m24","m25","m26","m27","m28","m29","m30","m31","m32","m33","m34","m35","m36","m37","m38","m39","m40","m41","m42","m43","m44","m45","m46","m47","m48","m49","m50"
"R10830.bam",2,1.73019814595481,1.73364867684574,1.73525360479942,1.7369324487152,1.73193641394653,1.71889765814614,1,1,1,1.62880145741797,1.76659294376904,1.76133805755155,1.76188700190894,1,1.23382239838501,1,1.76004013743766,1,1.58830975612876,1,1,1.58830975612872,1.16047890460225,1.16047890460225,1,1.16047890460241,1.58830975612875,1.49860241786692,1.49963601098041,1.56586818559193,1.48089478699079,1,1.53249435326378,1.56051071573549,1.53583365098901,1.53375515170654,1.65617706457707,1.53132961971653,1,1.4210966556959,1.48048703886128,1,1,1,1,1,1.55133039859202,1.56852270207755,1.62520503616072,1.62860134350366
"R10831_R.bam",2,1.73019814595481,1.73364867684574,1.73525360479942,1.7369324487152,1.73193641394653,1.71889765814614,1,1,1,1.62880145741797,1.76659294376904,1.76133805755155,1.76188700190894,1,1.23382239838501,1,1.76004013743766,1,1.58830975612876,1,1,1.58830975612872,1.16047890460225,1.16047890460225,1,1.16047890460241,1.58830975612875,1.49860241786692,1.49963601098041,1.56586818559193,1.48089478699079,1,1.53249435326378,1.56051071573549,1.53583365098901,1.53375515170654,1.65617706457707,1.53132961971653,1,1.4210966556959,1.48048703886128,1,1,1,1,1,1.55133039859202,1.56852270207755,1.62520503616072,1.62860134350366
"R10832.bam",0,1.73019814595481,1.73364867684574,1.73525360479942,1.7369324487152,1.73193641394653,1.71889765814614,1,1,1,1.62880145741797,1.76659294376904,1.76133805755155,1.76188700190894,1,1.23382239838501,1,1.76004013743766,1,1.58830975612876,1,1,1.58830975612872,1.16047890460225,1.16047890460225,1,1.16047890460241,1.58830975612875,1.49860241786692,1.49963601098041,1.56586818559193,1.48089478699079,1,1.53249435326378,1.56051071573549,1.53583365098901,1.53375515170654,1.65617706457707,1.53132961971653,1,1.4210966556959,1.48048703886128,1,1,1,1,1,1.55133039859202,1.56852270207755,1.62520503616072,1.62860134350366
"R10833.bam",0,0.801523074090081,0.796765950816535,0.794387856411012,0.792020121695218,0.79914272496105,0.822947221200379,1,1,1,1.09412816479614,0.766999507994767,0.761778708850758,0.761151063908029,1,0.984473414517961,1,0.760651335267155,1,1.09433708583072,1,1,1.09433708583087,0.986381432312275,0.986381432312286,1,0.986381432312263,1.09433708583073,1.05867645207994,1.06781587373501,1.05251921704166,1.06297499393173,1,1.05583369189596,1.06007259543075,1.05760776923053,1.05905561663289,1.0689771088253,1.06834214171302,1,1.06953753620765,1.05722791573121,1,1,1,1,1,1.12812565061809,1.14163831316455,1.13474874760235,1.14535347172985
"R10834.bam",0,1.3000256457633,1.30671621855191,1.31001906558541,1.31326463752363,1.30339064628022,1.31792700871849,1.04746160151053,1,1,1.80255839954643,1.28754067653565,1.28346981516703,1.28260432692461,1.06666666666667,1.27837779994497,1.22222222222222,1.28181732691847,1.03360811160244,1.83466663234746,1,1,1.83466663234752,1.21607221261837,1.21607221261839,1,1.21607221261835,1.83466663234746,1.52110866836027,1.47614785818215,1.53386429213231,1.53891233924029,1,1.59536132701262,1.48294579850437,1.50397340298385,1.50080878469371,1.49530352639995,1.51956683014901,1,1.57815581458985,1.48929321207382,1,1,1,1,1,1.48415851358945,1.53360392246749,1.4659437017975,1.49780409670791
"R10835_R.bam",0,2.22870071762803,2.24359894458112,2.25088481397382,2.25817696454361,2.2361843352657,2.21387744566425,2.10708521976938,2.03571428571429,2.20568161192142,2.25470314098588,2.28713411231078,2.28302916386599,2.28334026492531,1.86666666666667,2.25362558982119,1.55555555555556,2.28120612908897,2.04599552950054,2.32869741558744,1.71428571428571,2.1071046976409,2.32869741558745,2.04224198857795,2.04224198857796,2,2.04224198857789,2.32869741558745,2.06751997854942,1.98155721815425,2.09795668108123,2.02973294735489,2.5,2.13151369146288,2.01763572075002,2.03822497146421,2.04087013799097,2.07123041103954,2.01762084606619,2.1071241761978,1.97226979942017,1.97661150553713,2.10714365544013,2.26666666666667,2.66666666666667,2.40419748748691,2.52954602199781,1.94269170067999,2.01360204345021,1.98587520209556,2.0755184893744
"R10836.bam",0,1.3000256457633,1.30671621855191,1.31001906558541,1.31326463752363,1.30339064628022,1.31792700871849,1.04746160151053,1,1,1.80255839954643,1.28754067653565,1.28346981516703,1.28260432692461,1.06666666666667,1.27837779994497,1.22222222222222,1.28181732691847,1.03360811160244,1.83466663234746,1,1,1.83466663234752,1.21607221261837,1.21607221261839,1,1.21607221261835,1.83466663234746,1.52110866836027,1.47614785818215,1.53386429213231,1.53891233924029,1,1.59536132701262,1.48294579850437,1.50397340298385,1.50080878469371,1.49530352639995,1.51956683014901,1,1.57815581458985,1.48929321207382,1,1,1,1,1,1.48415851358945,1.53360392246749,1.4659437017975,1.49780409670791
"R10837.bam",0,2.22870071762803,2.24359894458112,2.25088481397382,2.25817696454361,2.2361843352657,2.21387744566425,2.10708521976938,2.03571428571429,2.20568161192142,2.25470314098588,2.28713411231078,2.28302916386599,2.28334026492531,1.86666666666667,2.25362558982119,1.55555555555556,2.28120612908897,2.04599552950054,2.32869741558744,1.71428571428571,2.1071046976409,2.32869741558745,2.04224198857795,2.04224198857796,2,2.04224198857789,2.32869741558745,2.06751997854942,1.98155721815425,2.09795668108123,2.02973294735489,2.5,2.13151369146288,2.01763572075002,2.03822497146421,2.04087013799097,2.07123041103954,2.01762084606619,2.1071241761978,1.97226979942017,1.97661150553713,2.10714365544013,2.26666666666667,2.66666666666667,2.40419748748691,2.52954602199781,1.94269170067999,2.01360204345021,1.98587520209556,2.0755184893744
"R10838.bam",0,2.22870071762803,2.24359894458112,2.25088481397382,2.25817696454361,2.2361843352657,2.21387744566425,2.10708521976938,2.03571428571429,2.20568161192142,2.25470314098588,2.28713411231078,2.28302916386599,2.28334026492531,1.86666666666667,2.25362558982119,1.55555555555556,2.28120612908897,2.04599552950054,2.32869741558744,1.71428571428571,2.1071046976409,2.32869741558745,2.04224198857795,2.04224198857796,2,2.04224198857789,2.32869741558745,2.06751997854942,1.98155721815425,2.09795668108123,2.02973294735489,2.5,2.13151369146288,2.01763572075002,2.03822497146421,2.04087013799097,2.07123041103954,2.01762084606619,2.1071241761978,1.97226979942017,1.97661150553713,2.10714365544013,2.26666666666667,2.66666666666667,2.40419748748691,2.52954602199781,1.94269170067999,2.01360204345021,1.98587520209556,2.0755184893744
"R10839_R.bam",0,1.73019814595481,1.73364867684574,1.73525360479942,1.7369324487152,1.73193641394653,1.71889765814614,1,1,1,1.62880145741797,1.76659294376904,1.76133805755155,1.76188700190894,1,1.23382239838501,1,1.76004013743766,1,1.58830975612876,1,1,1.58830975612872,1.16047890460225,1.16047890460225,1,1.16047890460241,1.58830975612875,1.49860241786692,1.49963601098041,1.56586818559193,1.48089478699079,1,1.53249435326378,1.56051071573549,1.53583365098901,1.53375515170654,1.65617706457707,1.53132961971653,1,1.4210966556959,1.48048703886128,1,1,1,1,1,1.55133039859202,1.56852270207755,1.62520503616072,1.62860134350366
