ID,coef
ADAMTS3|FAM110C,0.163343534
ADAMTS3|NTN4,0.575725975
AMOT|HLF,-0.173345481
AMOT|NTN4,-0.003948203
B3GALT2|CACNA2D3,-0.519507878
B3GALT2|DUSP4,-0.643841096
B3GALT2|NTN4,0.56740771
CACNA2D3|CYSLTR2,-0.206883048
CACNA2D3|ZNF683,-0.01733372
CYSLTR2|IL5RA,-0.073261721
CYSLTR2|SIGLEC8,0.641643693
ELOVL4|FGFR2,-0.03606357
ELOVL4|SLC4A10,-0.197542257
FAM110C|WNT7A,-0.456468153
FGFR2|HLF,0.331682618
GPR174|IDO1,-0.493060131
GPR174|PCOLCE2,-0.363578272
GRAPL|MTUS1,-1.619568456
HLF|NTN4,0.138758486
HLF|OLFM1,-0.791514651
IL5RA|PCOLCE2,-1.245378159
IL5RA|PID1,0.195675967
IL5RA|TBC1D4,1.125190358
ISM1|NTN4,0.086585148
ISM1|SIGLEC8,0.420779362
KIAA1671|WNT7A,0.565028716
KLRC2|PRSS33,0.387849371
KLRC3|PCOLCE2,-0.087063604
LRRN3|NEFL,-0.157211094
LRRN3|PLXDC1,-0.106681426
MS4A2|NEFL,-0.073239546
NEFL|SIGLEC8,0.0182525
NEFL|SLC4A10,0.196670376
PCOLCE2|PID1,0.149367499
PCOLCE2|SIGLEC8,0.954017454
PLXDC1|ZNF683,-0.082526553
